,Series ID,Year,Value,LOCATION,dum
55,15-24,2015,0.54996112982638,USA,0.0
56,15-24,2016,0.551699016495811,USA,0.0
57,15-24,2017,0.5546934388843741,USA,0.0
58,15-24,2018,0.552178718029681,USA,0.0
59,15-24,2019,0.558772882613188,USA,0.0
60,15-24,2020,0.5390689609177,USA,0.0
61,15-24,2021,0.555176855778004,USA,0.0
63,55-64,1961,0.608278647147905,USA,0.0
64,55-64,1962,0.605269683818971,USA,0.0
65,55-64,1963,0.609089802871745,USA,0.0
66,55-64,1964,0.60822342901474,USA,0.0
67,55-64,1965,0.606371142472331,USA,0.0
68,55-64,1966,0.6077090992647061,USA,0.0
69,55-64,1967,0.623360868811738,USA,0.0
70,55-64,1968,0.622345861246736,USA,0.0
71,55-64,1969,0.6209358094919409,USA,0.0
72,55-64,1970,0.618246575342466,USA,0.0
73,55-64,1971,0.612839001291434,USA,0.0
74,55-64,1972,0.600399810616024,USA,0.0
75,55-64,1973,0.5837050098537501,USA,0.0
76,55-64,1974,0.5781033864439781,USA,0.0
77,55-64,1975,0.571788540039309,USA,0.0
78,55-64,1976,0.56588724858813,USA,0.0
79,55-64,1977,0.563138437591206,USA,0.0
80,55-64,1978,0.5626287301815389,USA,0.0
81,55-64,1979,0.562564827911362,USA,0.0
82,55-64,1980,0.556897913665722,USA,0.0
83,55-64,1981,0.5501470858613721,USA,0.0
84,55-64,1982,0.550550002282167,USA,0.0
85,55-64,1983,0.544991819669151,USA,0.0
86,55-64,1984,0.542424379846719,USA,0.0
87,55-64,1985,0.54159891598916,USA,0.0
88,55-64,1986,0.54034163183718,USA,0.0
89,55-64,1987,0.543943210441951,USA,0.0
90,55-64,1988,0.545630978235756,USA,0.0
91,55-64,1989,0.5548444361394,USA,0.0
92,55-64,1990,0.5586389961389959,USA,0.0
93,55-64,1991,0.55496977025393,USA,0.0
94,55-64,1992,0.562366530770724,USA,0.0
95,55-64,1993,0.5638184115874401,USA,0.0
96,55-64,1994,0.5675793554640179,USA,0.0
97,55-64,1995,0.571952160493827,USA,0.0
98,55-64,1996,0.578628936210757,USA,0.0
99,55-64,1997,0.58885892309123,USA,0.0
100,55-64,1998,0.592707212055974,USA,0.0
101,55-64,1999,0.593218869233437,USA,0.0
102,55-64,2000,0.5924886504333471,USA,0.0
103,55-64,2001,0.603854304106193,USA,0.0
104,55-64,2002,0.619078348010932,USA,0.0
105,55-64,2003,0.624386901327178,USA,0.0
106,55-64,2004,0.622843113523981,USA,0.0
107,55-64,2005,0.629172882479695,USA,0.0
108,55-64,2006,0.636940239043825,USA,0.0
109,55-64,2007,0.637732833343579,USA,0.0
110,55-64,2008,0.645416542251418,USA,0.0
111,55-64,2009,0.649177963657341,USA,0.0
112,55-64,2010,0.649212762992894,USA,0.0
113,55-64,2011,0.642496012112364,USA,0.0
114,55-64,2012,0.644849813408492,USA,0.0
115,55-64,2013,0.6436790446170011,USA,0.0
116,55-64,2014,0.64131774173268,USA,0.0
117,55-64,2015,0.639330935606247,USA,0.0
118,55-64,2016,0.640674929795681,USA,0.0
119,55-64,2017,0.64522318965724,USA,0.0
120,55-64,2018,0.649538147365422,USA,0.0
121,55-64,2019,0.653464643355981,USA,0.0
