,Exajoules,variable,Energy_cons,GDP,eng_int,pct_chng_int,co2,carbon_int,carbon_int_cng
0,China,1967,5.403846454714531,173452836242.473,3.1154558044587937,-0.045722116475966024,475.92067379776904,8.807072476727331,-0.0020501201007768755
1,China,1968,5.460105295725378,166341269979.928,3.2824718101432286,0.05360885089283052,476.6827903460292,8.730285672681365,-0.008718765997313471
2,China,1969,6.642670196667142,194519481107.989,3.4149125623974963,0.04034787194364009,582.4737001263009,8.76866806391424,0.004396464522687937
3,China,1970,8.502114260524122,232061740955.439,3.6637294133532836,0.0728618511922019,748.5071302628548,8.80377641756972,0.004003841107860229
4,China,1971,10.080447048624896,248445299863.509,4.0574110494997875,0.10745379686383028,881.7011556436823,8.746647359890233,-0.0064891536279221285
5,China,1972,10.86781164008193,257911065788.84,4.2137826102350155,0.03853973847547598,945.3767244375122,8.698869245679944,-0.005462448895491745
6,China,1973,11.472815063972597,277924964496.186,4.128026096817236,-0.020351432750584264,987.0023005725692,8.602965314694162,-0.011024873265385704
7,China,1974,11.83234213373537,284345031184.263,4.161262141439603,0.008051316499184002,1006.7685345206478,8.50861581875861,-0.01096709012349495
8,China,1975,13.249589529948329,309139917896.427,4.285952335145349,0.02996451304137482,1131.2727890228239,8.538172344628368,0.0034737172883743117
9,China,1976,13.949375658055668,304286421180.249,4.5842912095615755,0.06960853763347075,1183.1413922532035,8.481679906368766,-0.006616455604242177
10,China,1977,15.21054825558293,327320903267.764,4.646983465990249,0.013675452444625202,1293.548110576044,8.504283270008074,0.002664963060246439
11,China,1978,16.675318015205825,364393196721.71,4.576188075196392,-0.015234698232086341,1418.532586747363,8.506779813457452,0.00029356306347216865
12,China,1979,17.178572642484156,392055467396.687,4.381668939997882,-0.042506805227877975,1458.4542207472805,8.48996159983858,-0.0019770364330186085
13,China,1980,17.37912239339829,422769661255.457,4.110778039698791,-0.061823680430594496,1460.8687595994213,8.405883372766585,-0.009903251750113196
14,China,1981,17.14985924127767,444384863998.942,3.859235682995382,-0.061190936186338085,1438.274310126494,8.38650795841367,-0.0023049825335059726
15,China,1982,17.916732915734507,484455553401.509,3.6983233631931154,-0.04169538556851571,1502.0269664244233,8.383375325673024,-0.0003735324352138747
16,China,1983,19.071713671483632,536632397557.183,3.5539624067239384,-0.039034162860366095,1596.6630396190794,8.371890786124997,-0.0013699183326383313
17,China,1984,20.466520585737058,618155123011.759,3.310903658942535,-0.068390916944295,1722.0274507557617,8.413874960044883,0.00501489746969308
18,China,1985,22.141335434107702,701177544159.34,3.1577359569684345,-0.046261600382241364,1821.7374677805224,8.227766898712984,-0.022119185537659347
19,China,1986,23.198782343851896,763932666262.02,3.036757474629967,-0.038311779068004204,1903.6070815355015,8.205633611800286,-0.002690072189108883
20,China,1987,25.02086013121654,852987565219.692,2.9333206193659187,-0.03406161213998571,2048.1079590977843,8.185601727346384,-0.002441235546404852
21,China,1988,26.881603695734814,948714904915.565,2.8334754262269404,-0.03403828155701616,2196.8157046647434,8.172189909240059,-0.0016384645323653801
22,China,1989,28.211171320794264,988621025896.57,2.853588036448026,0.007098212334901932,2295.0439971197993,8.135231150179639,-0.004522503694955993
23,China,1990,28.577697765968967,1027377455186.3,2.7816162036363563,-0.02522152177973669,2308.7927180692673,8.079001804052371,-0.006911831402113933
24,China,1991,30.015399010846277,1122541231141.84,2.6738794244835757,-0.038731719714581114,2439.954399420648,8.12900870829321,0.006189737971806775
25,China,1992,31.585351376698323,1282217440753.01,2.463338149428785,-0.07874000342983078,2562.75616502062,8.113749106211493,-0.0018771787101358184
26,China,1993,34.04748224405231,1460237039290.75,2.331640776663868,-0.053462969667991356,2769.614393226199,8.134564469036524,0.002565443243629062
27,China,1994,36.175724120682,1650605318482.01,2.1916640953242075,-0.060033553513307636,2921.357544778109,8.07546390787501,-0.007265362686161625
28,China,1995,37.269570928171845,1831411871435.46,2.0350185291176457,-0.07147334600259059,3009.1633952455327,8.074048936718302,-0.00017521855993041235
29,China,1996,39.26681804286924,2013134753757.7,1.9505310297571552,-0.04151682068326079,3156.6551437130406,8.038988899652596,-0.004342311687790756
30,China,1997,39.53208170968496,2199083579885.44,1.7976616292021226,-0.07837322156011284,3142.331399513736,7.9488133779302,-0.011217271580794441
31,China,1998,39.60203814516914,2371622617326.55,1.6698288275649513,-0.07111060255199908,3139.8079925590823,7.9284000006502,-0.00256810372937899
32,China,1999,40.98984536456142,2553328077171.96,1.6053497288903567,-0.03861419662314858,3268.4739024830374,7.973862485728871,0.005734131107782536
33,China,2000,42.481023818028454,2770108015885.86,1.5335511674783318,-0.044724560710925676,3327.9839765459546,7.834048423130509,-0.01753404486829213
34,China,2001,44.892228364733434,3001016837148.73,1.495900583063226,-0.024551241075976504,3489.7272184312355,7.7735664847787005,-0.00772039373323663
35,China,2002,48.889766356872215,3275118634996.31,1.4927632188483242,-0.0020973079698098918,3809.2639735733774,7.791536465458944,0.0023116777499014862
36,China,2003,56.94752257152672,3603876041860.81,1.5801742876295677,0.0585565531609773,4494.135943053884,7.891714582331829,0.012857299367973196
37,China,2004,66.63288668699785,3968358419663.33,1.679104547533559,0.06260718243453867,5317.16776721872,7.979795010526333,0.011161126935799182
38,China,2005,75.69779322923728,4420536663136.43,1.7124118404105415,0.01983634248737376,6079.259496020978,8.030960001186592,0.0064118176711014385
39,China,2006,82.97412400321353,4982871172216.7,1.6651870204041683,-0.02757795694466303,6659.973622905726,8.026566960378863,-0.000547013159955978
