,Country,Year,GDP Growth Rates,Exajoules,pct_chn_exa
0,Algeria,1981,2.9999960884106,0.7746702510322582,2.147600873417299
1,Algeria,1982,6.40000411484942,0.8932036162580644,1.5301138138176729
2,Algeria,1983,5.40000302450945,0.9754799889032256,0.921137925861128
3,Algeria,1984,5.59999652938872,0.936706303903226,-0.397483141028804
4,Algeria,1985,3.69999725488488,0.9442676811935484,0.080723031955849
5,Algeria,1986,0.400001002794625,0.9989659853225809,0.579266930537047
6,Algeria,1987,-0.699997526217516,1.026605165483871,0.276677890612713
7,Algeria,1988,-1.00000549066218,1.099518579516129,0.7102381371507289
8,Algeria,1989,4.40000216059993,1.069445774451613,-0.273508839457268
9,Algeria,1990,0.800000580172068,1.1339054257741936,0.602738847190582
10,Algeria,1991,-1.20000058551682,1.1235423022580646,-0.091393191006678
11,Algeria,1992,1.80000230318846,1.1528167910967744,0.26055528821544705
12,Algeria,1993,-2.10000075787545,1.072781941935484,-0.694254714013544
13,Algeria,1994,-0.899996552472246,1.0869159817741936,0.131751284079308
14,Algeria,1995,3.79999478984085,1.1273213941290323,0.371743658501406
15,Algeria,1996,4.09999846994822,1.1157290397741937,-0.10283096209484299
16,Algeria,1997,1.09999993930808,1.0722951130967742,-0.38928740876198403
17,Algeria,1998,5.10000360904218,1.1100563666774192,0.352153554739151
18,Algeria,1999,3.20000155165327,1.1211630287419354,0.100054937730416
19,Algeria,2000,3.79999999969765,1.0798043207096777,-0.36889111549340703
20,Algeria,2001,3.00000000021079,1.1189266785437788,0.36230969893127496
21,Algeria,2002,5.60000000000744,1.1590219018491157,0.35833646720729095
22,Algeria,2003,7.20000000046512,1.212919626362283,0.46502766192061096
23,Algeria,2004,4.29999999976991,1.2592000886944728,0.38156248218186906
24,Algeria,2005,5.89999999966911,1.318577520575892,0.471548822260496
25,Algeria,2006,1.70000000049772,1.3651921469629338,0.353522077084118
26,Algeria,2007,3.39999999955816,1.4387031480372972,0.538466334119334
27,Algeria,2008,2.40000000008489,1.5248049402199548,0.5984680877366471
28,Algeria,2009,1.60000000037586,1.6158936310967742,0.597379300618476
29,Algeria,2010,3.60000000003535,1.5803816364801109,-0.219766907507147
30,Algeria,2011,2.89999999946306,1.6721578183264163,0.580721641708725
31,Algeria,2012,3.40000000029599,1.8276187084577995,0.929702259126332
32,Algeria,2013,2.8,1.933116527920715,0.5772419541050651
33,Algeria,2014,3.80000000016804,2.1082078211500868,0.9057461911916009
34,Algeria,2015,3.69999999958893,2.223065207302304,0.544810549510053
35,Algeria,2016,3.20000000006691,2.221185042853613,-0.008457531711237
36,Algeria,2017,1.29999999991843,2.2456607864483877,0.110192276296485
37,Algeria,2018,1.10000000013866,2.416901325537521,0.76253965034478
38,Algeria,2019,1.00000000010023,2.5015852601172006,0.350382258824097
39,Algeria,2020,-5.0999999999227,2.3558886341899328,-0.582417190611531
40,Argentina,1981,-5.18978914135593,1.6488130430872818,-0.29610382236343596
41,Argentina,1982,-0.735659159103619,1.6794460107694025,0.185787999497886
42,Argentina,1983,4.34909327926756,1.7503378839574295,0.422114630261614
43,Argentina,1984,1.57073870182023,1.754968212079307,0.026453910209660002
44,Argentina,1985,-5.18902435343904,1.7338764765089238,-0.12018300630866299
45,Argentina,1986,6.15337706275693,1.831888347906334,0.5652759739537639
46,Argentina,1987,2.70486882770558,1.914517588702918,0.45106046387063303
47,Argentina,1988,-1.08993334133791,1.9465601207120309,0.167366088450622
48,Argentina,1989,-7.15694965597953,1.877090786059859,-0.356882553551753
49,Argentina,1990,-2.46721377810472,1.8468299742374623,-0.16121123201459897
