,Country,Year,Exajoules,fuel,Total,pct,key1,key2,key3,rank
1460,China,2002,34.08284713417288,Coal,48.91269577247728,0.6968098281213726,China,2021,159.49210028143003,1.0
1461,China,2002,0.038408254682622274,Renwebales,48.91269577247728,0.0007852410110716949,China,2021,159.49210028143003,1.0
1462,China,2002,0.029104920655567114,Other,48.91269577247728,0.0005950381633216827,China,2021,159.49210028143003,1.0
1463,China,2003,11.645144557734227,Oil,56.95946113354267,0.2044461855148513,China,2021,159.49210028143003,1.0
1464,China,2003,1.2302902654867256,Natural Gas,56.95946113354267,0.021599401416426394,China,2021,159.49210028143003,1.0
1465,China,2003,0.43422661290322573,Nuclear Energy,56.95946113354267,0.007623432600339603,China,2021,159.49210028143003,1.0
1466,China,2003,2.9617459057071955,Hydro,56.95946113354267,0.05199743548772906,China,2021,159.49210028143003,1.0
1467,China,2003,40.61901088228201,Coal,56.95946113354267,0.7131214037831201,China,2021,159.49210028143003,1.0
1468,China,2003,0.0400599534739454,Renwebales,56.95946113354267,0.0007033063985634272,China,2021,159.49210028143003,1.0
1469,China,2003,0.028982955955334982,Other,56.95946113354267,0.0005088347989701627,China,2021,159.49210028143003,1.0
1470,China,2004,13.599979872128849,Oil,66.64027727075398,0.2040804814912946,China,2021,159.49210028143003,1.0
1471,China,2004,1.4394229203539821,Natural Gas,66.64027727075398,0.021599893927597643,China,2021,159.49210028143003,1.0
1472,China,2004,0.5024086809122662,Nuclear Energy,66.64027727075398,0.0075391145038460885,China,2021,159.49210028143003,1.0
1473,China,2004,3.6676467146085874,Hydro,66.64027727075398,0.05503648641357297,China,2021,159.49210028143003,1.0
1474,China,2004,47.35900693409611,Coal,66.64027727075398,0.7106664148722003,China,2021,159.49210028143003,1.0
1475,China,2004,0.04292808377850832,Renwebales,66.64027727075398,0.0006441762480083184,China,2021,159.49210028143003,1.0
1476,China,2004,0.02888406487569344,Other,66.64027727075398,0.0004334325434802717,China,2021,159.49210028143003,1.0
1477,China,2005,13.818553630104049,Oil,75.72861826123679,0.18247465683891068,China,2021,159.49210028143003,1.0
1478,China,2005,1.6911038948672565,Natural Gas,75.72861826123679,0.022331107231265593,China,2021,159.49210028143003,1.0
1479,China,2005,0.5251354838709675,Nuclear Energy,75.72861826123679,0.0069344389997905015,China,2021,159.49210028143003,1.0
1480,China,2005,4.092566012658226,Hydro,75.72861826123679,0.0540425285265384,China,2021,159.49210028143003,1.0
1481,China,2005,55.45838065970363,Coal,75.72861826123679,0.7323305499697875,China,2021,159.49210028143003,1.0
1482,China,2005,0.0819025158227848,Renwebales,75.72861826123679,0.001081526610458549,China,2021,159.49210028143003,1.0
1483,China,2005,0.060976064209881574,Other,75.72861826123679,0.0008051918232488522,China,2021,159.49210028143003,1.0
1484,China,2006,14.820368978961934,Oil,83.01231736038308,0.17853216787843618,China,2021,159.49210028143003,1.0
1485,China,2006,2.0802152547787607,Natural Gas,83.01231736038308,0.025059115573751296,China,2021,159.49210028143003,1.0
1486,China,2006,0.5390836579427873,Nuclear Energy,83.01231736038308,0.0064940201055037694,China,2021,159.49210028143003,1.0
1487,China,2006,4.463955191722457,Hydro,83.01231736038308,0.053774612414962425,China,2021,159.49210028143003,1.0
1488,China,2006,60.90617426023947,Coal,83.01231736038308,0.7337004458727039,China,2021,159.49210028143003,1.0
1489,China,2006,0.12075749771758976,Renwebales,83.01231736038308,0.0014546937316945719,China,2021,159.49210028143003,1.0
1490,China,2006,0.0817625190200852,Other,83.01231736038308,0.0009849444229478367,China,2021,159.49210028143003,1.0
1491,China,2007,15.528842756192038,Oil,90.24356868303997,0.17207700208237076,China,2021,159.49210028143003,1.0
1492,China,2007,2.5588043568761054,Natural Gas,90.24356868303997,0.028354423414518593,China,2021,159.49210028143003,1.0
1493,China,2007,0.6068948588709674,Nuclear Energy,90.24356868303997,0.006725076010707729,China,2021,159.49210028143003,1.0
1494,China,2007,4.939713580645159,Hydro,90.24356868303997,0.05473756914461994,China,2021,159.49210028143003,1.0
1495,China,2007,66.32608656593956,Coal,90.24356868303997,0.7349674612148249,China,2021,159.49210028143003,1.0
1496,China,2007,0.170081564516129,Renwebales,90.24356868303997,0.0018846945771116594,China,2021,159.49210028143003,1.0
1497,China,2007,0.11314499999999998,Other,90.24356868303997,0.0012537735558463571,China,2021,159.49210028143003,1.0
1498,China,2008,15.869129730958205,Oil,93.7788064295026,0.16921872153371548,China,2021,159.49210028143003,1.0
1499,China,2008,2.9495846124991143,Natural Gas,93.7788064295026,0.031452571479638515,China,2021,159.49210028143003,1.0
