,Exajoules,variable,Energy_cons,GDP,eng_int,pct_chng_int,co2,carbon_int,carbon_int_cng
0,China,1967,5.403846454714531,173452836242.473,31.154558044587933,-0.045722116475966024,475.92067379776904,11.35451085071115,0.002054331727545211
1,China,1968,5.460105295725378,166341269979.928,32.82471810143228,0.05360885089283052,476.6827903460292,11.45437889998468,0.008795451480613448
2,China,1969,6.642670196667142,194519481107.989,34.14912562397496,0.04034787194364031,582.4737001263009,11.404240560950266,-0.004377220229241918
3,China,1970,8.502114260524122,232061740955.439,36.63729413353283,0.0728618511922019,748.5071302628548,11.358761883187963,-0.0039878742928334265
4,China,1971,10.080447048624896,248445299863.509,40.574110494997875,0.10745379686383028,881.7011556436823,11.432952065562063,0.006531537780003038
5,China,1972,10.86781164008193,257911065788.84,42.137826102350154,0.03853973847547576,945.3767244375122,11.495746996043454,0.005492451129095466
6,China,1973,11.472815063972597,277924964496.186,41.280260968172364,-0.020351432750584153,987.0023005725692,11.623899009472533,0.011147776083901828
7,China,1974,11.83234213373537,284345031184.263,41.61262141439603,0.008051316499184002,1006.7685345206478,11.7527929489464,0.011088700905679705
8,China,1975,13.249589529948329,309139917896.427,42.85952335145349,0.02996451304137482,1131.2727890228239,11.712108395529537,-0.003461692347818568
9,China,1976,13.949375658055668,304286421180.249,45.84291209561576,0.06960853763347075,1183.1413922532035,11.790117182435933,0.006660524670021983
10,China,1977,15.21054825558293,327320903267.764,46.46983465990249,0.013675452444625202,1293.548110576044,11.758780466858209,-0.002657879908471772
11,China,1978,16.675318015205825,364393196721.71,45.76188075196392,-0.015234698232086452,1418.532586747363,11.755329536307407,-0.00029347690949144134
12,China,1979,17.178572642484156,392055467396.687,43.81668939997881,-0.042506805227877975,1458.4542207472805,11.77861628984297,0.0019809528489729278
13,China,1980,17.37912239339829,422769661255.457,41.107780396987906,-0.061823680430594496,1460.8687595994213,11.896429627370324,0.010002307115560605
14,China,1981,17.14985924127767,444384863998.942,38.59235682995382,-0.061190936186337974,1438.274310126494,11.92391404096578,0.0023103077525228333
15,China,1982,17.916732915734507,484455553401.509,36.98323363193115,-0.04169538556851593,1502.0269664244233,11.928369673938215,0.0003736720138309835
16,China,1983,19.071713671483632,536632397557.183,35.53962406723938,-0.039034162860366095,1596.6630396190794,11.944732982629588,0.001371797583296308
17,China,1984,20.466520585737058,618155123011.759,33.10903658942535,-0.06839091694429478,1722.0274507557617,11.885130272897062,-0.004989873764378205
18,China,1985,22.141335434107702,701177544159.34,31.577359569684344,-0.046261600382241475,1821.7374677805224,12.153966104173703,0.02261951069141377
19,China,1986,23.198782343851896,763932666262.02,30.36757474629967,-0.038311779068004204,1903.6070815355015,12.18674933964793,0.0026973281966755636
20,China,1987,25.02086013121654,852987565219.692,29.333206193659187,-0.03406161213998571,2048.1079590977843,12.216572871597318,0.0024472097618650768
21,China,1988,26.881603695734814,948714904915.565,28.334754262269403,-0.03403828155701627,2196.8157046647434,12.23662214297454,0.0016411535041742642
22,China,1989,28.211171320794264,988621025896.57,28.535880364480263,0.007098212334902154,2295.0439971197993,12.292213724964883,0.004543049653801701
23,China,1990,28.577697765968967,1027377455186.3,27.81616203636356,-0.0252215217797368,2308.7927180692673,12.377766761958226,0.0069599373154072275
24,China,1991,30.015399010846277,1122541231141.84,26.738794244835756,-0.038731719714581114,2439.954399420648,12.301622939335772,-0.006151660803342507
25,China,1992,31.585351376698323,1282217440753.01,24.63338149428785,-0.07874000342983078,2562.75616502062,12.324758714001256,0.0018807091372883278
26,China,1993,34.04748224405231,1460237039290.75,23.31640776663868,-0.053462969667991356,2769.614393226199,12.293221152852233,-0.0025588785858496887
27,China,1994,36.175724120682,1650605318482.01,21.916640953242073,-0.06003355351330775,2921.357544778109,12.383189515896698,0.00731853449358888
28,China,1995,37.269570928171845,1831411871435.46,20.35018529117646,-0.07147334600259048,3009.1633952455327,12.38535966078068,0.0001752492668545269
29,China,1996,39.26681804286924,2013134753757.7,19.50531029757155,-0.0415168206832609,3156.6551437130406,12.439375305558825,0.004361249592871319
30,China,1997,39.53208170968496,2199083579885.44,17.976616292021227,-0.07837322156011273,3142.331399513736,12.580494124777037,0.011344526212272887
31,China,1998,39.60203814516914,2371622617326.55,16.698288275649514,-0.07111060255199908,3139.8079925590823,12.612885322612268,0.0025747158667988046
32,China,1999,40.98984536456142,2553328077171.96,16.053497288903568,-0.03861419662314847,3268.4739024830374,12.540973734996541,-0.005701438312992857
33,China,2000,42.481023818028454,2770108015885.86,15.335511674783318,-0.04472456071092579,3327.9839765459546,12.764792173704702,0.017846974520294046
34,China,2001,44.892228364733434,3001016837148.73,14.95900583063226,-0.024551241075976504,3489.7272184312355,12.864108153678037,0.007780461963017737
35,China,2002,48.889766356872215,3275118634996.31,14.927632188483242,-0.0020973079698098918,3809.2639735733774,12.834439066455644,-0.0023063462206597274
36,China,2003,56.94752257152672,3603876041860.81,15.801742876295677,0.0585565531609773,4494.135943053884,12.671517571591163,-0.01269408768243685
37,China,2004,66.63288668699785,3968358419663.33,16.79104547533559,0.06260718243453844,5317.16776721872,12.531650232629746,-0.011037931184737726
38,China,2005,75.69779322923728,4420536663136.43,17.124118404105413,0.01983634248737376,6079.259496020978,12.451811487695716,-0.0063709681847125
39,China,2006,82.97412400321353,4982871172216.7,16.651870204041685,-0.027577956944662807,6659.973622905726,12.458626520357326,0.0005473125471215923
40,China,2007,90.17745785644681,5691976639219.75,15.842907231047286,-0.04858090791495906,7217.139095225524,12.494903682278123,0.0029118106928978094
41,China,2008,93.66840582138188,6241291028834.91,15.007857411011868,-0.05270811776256412,7356.559883936194,12.73263689811273,0.01902641443901576
42,China,2009,97.77203630536101,6827892848566.12,14.319503611702615,-0.045866227300652485,7685.020093702419,12.722417783329085,-0.0008025921783066936
43,China,2010,104.59504737576171,7554098728364.74,13.846131899629505,-0.03305782972017601,8121.687733497693,12.87848668994772,0.012267236407150772
44,China,2011,112.80086914871185,8275578020536.57,13.63057285772506,-0.015568177702410368,8793.491057828665,12.827768676501643,-0.003938196673811456
