,Country,eng_mean,gdp_mean,Cluster
1,Algeria,3.4842573297059047,2.618238877960957,2
2,Argentina,1.7898344194107163,1.8373154680638089,4
3,Australia,1.5768592173833145,2.9999180014930884,4
4,Austria,0.6563757102394941,1.841814705905084,0
5,Bangladesh,6.593875345790831,5.212469674223204,1
6,Belgium,0.801577744948113,1.7983081606537152,0
7,Brazil,2.8670678306528528,2.1386018322824563,2
8,Bulgaria,-0.8601307947319348,1.6920680367427197,0
9,Chile,3.7303247265312662,4.1505029887440745,2
10,China,5.592132753720657,9.2718036108415,3
11,Colombia,2.671664370200024,3.371546558309087,2
12,Cyprus,2.8411191470011325,3.853595339401928,2
13,Denmark,-0.3219419617335612,1.8308779274376823,0
14,Ecuador,4.433475993435717,2.668700239370989,2
15,Egypt,4.054757843259427,4.7917162945887375,1
16,Finland,0.5544085160355768,2.045472574441055,0
17,France,0.3491122438239821,1.7078973712132488,0
18,Germany,-0.4243557456466296,1.5998703991747407,0
19,Greece,1.072968594622746,0.82628031715782,0
20,India,5.269272808899367,5.836056943541728,1
21,Indonesia,5.13543528867091,4.824123457420837,1
22,Iraq,5.793146594166851,6.043148614097685,1
23,Ireland,1.4170691789696872,5.282794110049397,4
24,Italy,0.1064321609894485,1.0475011101044562,0
25,Japan,0.4094056768904016,1.68790943362823,0
26,Luxembourg,0.3992388869366498,3.8051447535460032,4
27,Malaysia,5.726179651554164,5.431001203349033,1
28,Mexico,1.882854173716805,2.1299944517813234,4
29,Morocco,3.760509092974506,3.913138612055124,2
30,Netherlands,0.2929259802545604,2.0462644173196494,0
31,New Zealand,1.4443364625644566,2.620635237966029,4
32,Norway,1.1743307435469588,2.3362168789291307,4
33,Pakistan,4.90548946038052,4.599802876618827,1
34,Peru,2.9662028335829778,3.1179790836445944,2
35,Philippines,3.390528577134127,3.649608592160868,2
36,Portugal,1.8856436070588083,1.776443266047356,4
37,Saudi Arabia,5.033356329134762,1.9302854749213487,2
38,Singapore,5.5487297809461325,6.036983320023615,1
39,South Africa,1.9727658806146824,1.9834683194950409,4
40,South Korea,5.221947562462314,6.076431177092417,1
41,Spain,1.4403321472969015,2.0409965460697057,4
42,Sri Lanka,3.916333778073553,4.65480565190771,1
43,Sweden,0.0746073518048754,2.1284574619284045,0
44,Switzerland,0.0117794559621394,1.752661299827357,0
45,Thailand,5.863459603450725,4.74884131570801,1
46,Trinidad & Tobago,3.3636432551208943,1.993834117107799,2
47,Turkey,4.720874166975554,4.756107202921992,1
48,US,0.5693149754176937,2.626953821094479,0
49,United Kingdom,-0.3940085532441511,2.091401496269562,0
