,Year,cume,Country,Million tonnes of carbon dioxide
119,1970,3302.4587579873732,China,748.5071302628548
120,1971,4184.159913631056,China,881.7011556436823
121,1972,5129.536638068568,China,945.3767244375122
122,1973,6116.538938641137,China,987.0023005725692
123,1974,7123.307473161785,China,1006.7685345206478
124,1975,8254.580262184609,China,1131.2727890228239
125,1976,9437.721654437812,China,1183.1413922532035
126,1977,10731.269765013856,China,1293.548110576044
127,1978,12149.80235176122,China,1418.532586747363
128,1979,13608.2565725085,China,1458.4542207472805
129,1980,15069.12533210792,China,1460.8687595994213
130,1981,16507.399642234413,China,1438.274310126494
131,1982,18009.42660865884,China,1502.0269664244233
132,1983,19606.089648277917,China,1596.6630396190794
133,1984,21328.11709903368,China,1722.0274507557617
134,1985,23149.854566814203,China,1821.7374677805224
135,1986,25053.461648349705,China,1903.6070815355015
136,1987,27101.569607447487,China,2048.1079590977843
137,1988,29298.38531211223,China,2196.8157046647434
138,1989,31593.42930923203,China,2295.0439971197993
139,1990,33902.2220273013,China,2308.7927180692673
140,1991,36342.17642672195,China,2439.954399420648
141,1992,38904.93259174257,China,2562.75616502062
142,1993,41674.546984968765,China,2769.614393226199
143,1994,44595.90452974688,China,2921.357544778109
144,1995,47605.06792499241,China,3009.1633952455327
145,1996,50761.72306870545,China,3156.6551437130406
146,1997,53904.05446821918,China,3142.331399513736
147,1998,57043.86246077826,China,3139.8079925590823
148,1999,60312.3363632613,China,3268.4739024830374
149,2000,63640.32033980726,China,3327.9839765459546
150,2001,67130.0475582385,China,3489.7272184312355
151,2002,70939.31153181187,China,3809.2639735733774
152,2003,75433.44747486575,China,4494.135943053884
153,2004,80750.61524208447,China,5317.16776721872
154,2005,86829.87473810546,China,6079.259496020978
155,2006,93489.84836101117,China,6659.973622905726
156,2007,100706.9874562367,China,7217.139095225524
157,2008,108063.5473401729,China,7356.559883936194
158,2009,115748.56743387532,China,7685.020093702419
159,2010,123870.255167373,China,8121.687733497693
160,2011,132663.74622520167,China,8793.491057828665
161,2012,141642.48491512984,China,8978.73868992817
162,2013,150861.58422580434,China,9219.09931067451
163,2014,160118.2643310331,China,9256.680105228761
164,2015,169344.466700321,China,9226.202369287897
165,2016,178578.88275535722,China,9234.416055036218
166,2017,188023.75341939955,China,9444.87066404231
167,2018,197699.73884185695,China,9675.985422457408
168,2019,207568.2646496093,China,9868.525807752367
169,2020,217542.53599674156,China,9974.271347132231
170,2021,228065.5620389338,China,10523.026042192267
171,1965,329.4457042845905,France,329.4457042845905
172,1966,660.4222941225531,France,330.97658983796265
173,1967,1016.3572470376153,France,355.93495291506207
174,1968,1385.6369506234505,France,369.27970358583536
175,1969,1790.043001346328,France,404.4060507228776
176,1970,2223.7770270388273,France,433.73402569249913
177,1971,2677.347011677617,France,453.5699846387896
178,1972,3155.1329652404224,France,477.7859535628057
179,1973,3673.949862299485,France,518.8168970590624
180,1974,4174.427359590907,France,500.47749729142237
181,1975,4631.539631257785,France,457.1122716668781
182,1976,5141.125435214657,France,509.5858039568713
183,1977,5634.202257946994,France,493.0768227323373
184,1978,6131.857755257682,France,497.65549731068774
185,1979,6642.027473502453,France,510.16971824477184
186,1980,7127.062623324481,France,485.03514982202796
187,1981,7568.890751803371,France,441.8281284788897
188,1982,7987.477989231735,France,418.587237428363
189,1983,8390.280712978461,France,402.80272374672734
190,1984,8777.974864000722,France,387.6941510222603
191,1985,9159.792531144136,France,381.81766714341404
192,1986,9529.706644148917,France,369.91411300478114
193,1987,9892.080473191774,France,362.37382904285664
194,1988,10251.219008912658,France,359.1385357208842
195,1989,10621.715980986466,France,370.4969720738079
196,1990,10988.957222038429,France,367.2412410519632
197,1991,11379.621924456265,France,390.664702417836
198,1992,11759.06509588881,France,379.44317143254517
199,1993,12121.095179933602,France,362.03008404479203
200,1994,12469.837989040423,France,348.74280910682097
201,1995,12825.999350809272,France,356.1613617688484
