,Country,Fuel type,Exajoules,Total,Percentages,Rank
0,Australia,Oil,1.9308563171696924,5.720003053814708,0.3375621129925781,12.0
1,Australia,Coal,1.6306849442273528,5.720003053814708,0.285084628257294,12.0
2,Australia,Renewables,0.5891137914221463,5.720003053814708,0.10299186659162049,12.0
3,Australia,Hydro electric,0.15068459281411323,5.720003053814708,0.026343446217851344,12.0
4,Australia,Nuclear energy,0.0,5.720003053814708,0.0,12.0
5,Australia,Natural Gas,1.418663408181404,5.720003053814708,0.24801794594065607,12.0
6,Brazil,Coal,0.7124705958270233,12.565610327022053,0.05670003901799118,13.0
7,Brazil,Oil,4.456353059351735,12.565610327022053,0.3546467655270553,13.0
8,Brazil,Renewables,2.3900301263099655,12.565610327022053,0.19020406204784668,13.0
9,Brazil,Natural Gas,1.4560722321717978,12.565610327022053,0.11587755741880268,13.0
10,Brazil,Nuclear energy,0.13292108201699365,12.565610327022053,0.010578163619410507,13.0
11,Brazil,Hydro electric,3.4177632313445376,12.565610327022053,0.27199341236889363,13.0
12,Canada,Hydro electric,3.5875860635621106,13.936161236550182,0.2574300054847957,14.0
13,Canada,Renewables,0.5777144945431669,13.936161236550182,0.04145434920973811,14.0
14,Canada,Natural Gas,4.290044030953667,13.936161236550182,0.30783541881692833,14.0
15,Canada,Nuclear energy,0.8312679446744424,13.936161236550182,0.059648272617159964,14.0
16,Canada,Coal,0.47988600000000003,13.936161236550182,0.03443459011807423,14.0
17,Canada,Oil,4.169662702816794,13.936161236550182,0.2991973637533036,14.0
18,China,Coal,86.16981729093136,157.64722540389428,0.5465990097203623,1.0
19,China,Oil,30.598500070928885,157.64722540389428,0.19409475804306178,1.0
20,China,Renewables,11.316293560110465,157.64722540389428,0.07178238329991518,1.0
21,China,Nuclear energy,3.6835674961847418,157.64722540389428,0.023365888532115887,1.0
22,China,Hydro electric,12.246048091933515,157.64722540389428,0.07768007372510984,1.0
23,China,Natural Gas,13.632998893805308,157.64722540389428,0.08647788667943494,1.0
24,Germany,Natural Gas,3.2590911961722484,12.641713802531875,0.2578045387738108,9.0
25,Germany,Coal,2.1155999999999997,12.641713802531875,0.16735072736548492,9.0
26,Germany,Oil,4.184093822068736,12.641713802531875,0.33097520537371666,9.0
27,Germany,Hydro electric,0.1799227065814847,12.641713802531875,0.014232461626005954,9.0
28,Germany,Nuclear energy,0.6237206312558212,12.641713802531875,0.04933829708523403,9.0
29,Germany,Renewables,2.2792854464535846,12.641713802531875,0.18029876977574755,9.0
30,India,Coal,20.088545705454205,35.42836866351489,0.5670186481417628,2.0
31,India,Natural Gas,2.238042408174643,35.42836866351489,0.06317091338386802,2.0
32,India,Oil,9.406105271492605,35.42836866351489,0.26549642634771586,2.0
33,India,Hydro electric,1.5102715307716,35.42836866351489,0.042628875890831495,2.0
34,India,Renewables,1.788410537513691,35.42836866351489,0.05047961859320509,2.0
35,India,Nuclear energy,0.3969932101081391,35.42836866351489,0.011205517642616541,2.0
36,Indonesia,Coal,3.2815915810766723,8.30973991845103,0.3949090601247572,7.0
37,Indonesia,Natural Gas,1.3349051629346709,8.30973991845103,0.16064343481685078,7.0
38,Indonesia,Renewables,0.6303792766232912,8.30973991845103,0.07586028958903886,7.0
39,Indonesia,Nuclear energy,0.0,8.30973991845103,0.0,7.0
40,Indonesia,Oil,2.8302172441806404,8.30973991845103,0.34059035203934573,7.0
41,Indonesia,Hydro electric,0.2326466536357554,8.30973991845103,0.027996863430007533,7.0
42,Iran,Coal,0.0739813798332,12.190291921326974,0.006068876800543982,18.0
43,Iran,Hydro electric,0.14019149573467066,12.190291921326974,0.011500257470406018,18.0
44,Iran,Natural Gas,8.680278521461483,12.190291921326974,0.7120648609140602,18.0
45,Iran,Renewables,0.017111279368234707,12.190291921326974,0.001403680853474759,18.0
46,Iran,Nuclear energy,0.03196865844816504,12.190291921326974,0.002622468654112845,18.0
47,Iran,Oil,3.24676058648122,12.190291921326974,0.2663398553074022,18.0
48,Italy,Nuclear energy,0.0,6.35520986005478,0.0,16.0
49,Italy,Natural Gas,2.610093177548637,6.35520986005478,0.4107013356009205,16.0
50,Italy,Renewables,0.7613681632268252,6.35520986005478,0.11980220637753455,16.0
51,Italy,Oil,2.3482771128920468,6.35520986005478,0.3695042594347632,16.0
52,Italy,Hydro electric,0.40559213354447116,6.35520986005478,0.06382041545060403,16.0
53,Italy,Coal,0.22987927284279908,6.35520986005478,0.036171783136177596,16.0
54,Japan,Coal,4.7975448064117465,17.74027404200516,0.2704323955228758,4.0
55,Japan,Natural Gas,3.7304072151870664,17.74027404200516,0.21027900732278784,4.0
56,Japan,Oil,6.61235326022897,17.74027404200516,0.37273117904336406,4.0
57,Japan,Renewables,1.3152148707952567,17.74027404200516,0.07413723529191883,4.0
58,Japan,Hydro electric,0.7313361781959352,17.74027404200516,0.04122462688368218,4.0
59,Japan,Nuclear energy,0.5534177111861854,17.74027404200516,0.031195555935371183,4.0
60,Mexico,Oil,2.5596498198958266,6.788998976374384,0.3770290478468726,15.0
61,Mexico,Hydro electric,0.3270830375364616,6.788998976374384,0.04817838957918623,15.0
62,Mexico,Coal,0.23158651197846356,6.788998976374384,0.03411202635092172,15.0
63,Mexico,Natural Gas,3.176138190184252,6.788998976374384,0.46783600958508986,15.0
64,Mexico,Renewables,0.38676346434098263,6.788998976374384,0.05696914459508887,15.0
65,Mexico,Nuclear energy,0.10777795243839833,6.788998976374384,0.01587538204284078,15.0
66,Poland,Renewables,0.3227420319441184,4.442018406864433,0.0726566174163916,10.0
