,Exajoules,value,Year,Totals,China Percentages
0,Coal,4.7905365600000005,1965,5.5302993244570375,0.86623458857181
1,Coal,5.1246432,1966,6.009508456929775,0.8527558013651839
2,Coal,4.5552384,1967,5.403846454714531,0.8429622192588077
3,Coal,4.52132532,1968,5.460105295725378,0.8280655912514484
4,Coal,5.45979654,1969,6.642670196667143,0.8219279865406187
5,Coal,6.94673856,1970,8.502114260524122,0.8170601272972966
6,Coal,8.009557740000002,1971,10.080447048624894,0.7945637431915891
7,Coal,8.47052442,1972,10.86781164008193,0.779413988807055
8,Coal,8.581474620000002,1973,11.472815063972597,0.7479833477790381
9,Coal,8.4908304,1974,11.83234213373537,0.7175950715447675
10,Coal,9.56955942,1975,13.249589529948329,0.7222532742142479
11,Coal,9.803392200000001,1976,13.949375658055668,0.7027835825998857
12,Coal,10.78394076,1977,15.210548255582928,0.7089777816550319
13,Coal,11.841107760000002,1978,16.675318015205825,0.710097867351158
14,Coal,12.249739439999999,1979,17.178572642484156,0.7130824949743083
15,Coal,12.740469160104002,1980,17.37912239339829,0.7330904790073665
16,Coal,12.672702075851998,1981,17.149859241277674,0.7389391304944538
17,Coal,13.409416302408,1982,17.916732915734507,0.7484297703981414
18,Coal,14.3604162702,1983,19.071713671483632,0.7529693722107391
19,Coal,15.617759202360002,1984,20.466520585737058,0.7630881437289289
20,Coal,17.05055208192,1985,22.141335434107702,0.7700778542767756
21,Coal,17.825126159232003,1986,23.198782343851896,0.76836473117547
22,Coal,19.3400705862,1987,25.02086013121654,0.7729578633498266
23,Coal,20.776404996144002,1988,26.881603695734814,0.7728856221267968
24,Coal,21.768846496487996,1989,28.211171320794264,0.771639229330486
25,Coal,22.08426133536,1990,28.57836046758187,0.7727616621118447
26,Coal,23.160339985356,1991,30.01606171245918,0.7715982265502379
27,Coal,24.233389401815998,1992,31.586514615945635,0.7672068190006123
28,Coal,25.813284159600002,1993,34.048686343514674,0.7581286367166031
29,Coal,27.510002234820004,1994,36.180869954015336,0.7603466215650505
30,Coal,27.852661916881196,1995,37.30406716473098,0.7466387456865404
31,Coal,29.143402235233026,1996,39.284295999858486,0.7418588393524479
32,Coal,28.554884896502163,1997,39.56322357796453,0.721753242382563
