,Year,cume,Country,Million tonnes of carbon dioxide
39,2004,118223.74080664871,Rest of the World,4814.919366391579
40,2005,123151.0373047989,Rest of the World,4927.296498150186
41,2006,128222.05525130568,Rest of the World,5071.017946506778
42,2007,133492.05039523586,Rest of the World,5269.99514393018
43,2008,138872.57936779285,Rest of the World,5380.528972556989
44,2009,144142.01773019673,Rest of the World,5269.438362403889
45,2010,149689.0794536092,Rest of the World,5547.06172341248
46,2011,155399.72730857678,Rest of the World,5710.647854967567
47,2012,161246.42965167505,Rest of the World,5846.702343098266
48,2013,167119.2481438566,Rest of the World,5872.818492181541
49,2014,173069.0635345308,Rest of the World,5949.815390674223
50,2015,179226.14687339784,Rest of the World,6157.083338867029
51,2016,185503.4896081121,Rest of the World,6277.3427347142715
52,2017,191909.60701764442,Rest of the World,6406.117409532308
53,2018,198515.9249875756,Rest of the World,6606.317969931173
54,2019,205200.39633283103,Rest of the World,6684.471345255442
55,2020,211362.35606886877,Rest of the World,6161.9597360377375
56,2021,217830.43254176303,Rest of the World,6468.0764728942595
57,1965,118.82150192270001,Australia,118.82150192270001
58,1966,243.89205909650002,Australia,125.0705571738
59,1967,376.2791936656,Australia,132.3871345691
60,1968,516.0054905021,Australia,139.7262968365
61,1969,660.3241387173607,Australia,144.31864821526065
62,1970,815.6011075883908,Australia,155.27696887103014
63,1971,976.8385012348504,Australia,161.23739364645954
64,1972,1145.0443138669693,Australia,168.20581263211886
65,1973,1323.6874369927618,Australia,178.64312312579258
66,1974,1512.6821019983904,Australia,188.99466500562863
67,1975,1704.5675932681377,Australia,191.8854912697473
68,1976,1902.9428241215683,Australia,198.37523085343045
69,1977,2111.3474101421543,Australia,208.40458602058618
70,1978,2326.4582036079078,Australia,215.11079346575352
71,1979,2549.606443046967,Australia,223.14823943905915
72,1980,2773.8679711767454,Australia,224.26152812977818
73,1981,3001.65060733243,Australia,227.78263615568488
74,1982,3228.4238037196687,Australia,226.77319638723867
75,1983,3446.4297034989645,Australia,218.00589977929556
76,1984,3673.2754328096175,Australia,226.8457293106533
77,1985,3906.0655067603984,Australia,232.79007395078068
78,1986,4143.793758628298,Australia,237.72825186789964
79,1987,4389.390481294451,Australia,245.59672266615286
80,1988,4646.4527583022045,Australia,257.0622770077535
81,1989,4916.789999562831,Australia,270.33724126062737
82,1990,5191.678482724316,Australia,274.8884831614849
83,1991,5466.457120144277,Australia,274.7786374199604
84,1992,5745.182528816228,Australia,278.72540867195147
85,1993,6028.461154046112,Australia,283.2786252298834
86,1994,6321.794980646471,Australia,293.33382660035954
87,1995,6629.4684065149695,Australia,307.6734258684983
88,1996,6947.520865015311,Australia,318.05245850034083
89,1997,7275.412897073022,Australia,327.8920320577111
90,1998,7612.80762971571,Australia,337.3947326426889
91,1999,7965.777515865386,Australia,352.96988614967546
92,2000,8320.836726646814,Australia,355.05921078142774
93,2001,8677.660579263955,Australia,356.8238526171418
94,2002,9041.062332564463,Australia,363.40175330050744
95,2003,9410.868977989736,Australia,369.8066454252731
96,2004,9793.722266325332,Australia,382.8532883355964
97,2005,10176.635207429856,Australia,382.912941104524
98,2006,10575.01476765797,Australia,398.37956022811375
99,2007,10981.754711773552,Australia,406.7399441155813
100,2008,11399.125237971792,Australia,417.37052619823953
101,2009,11807.937929749089,Australia,408.81269177729814
102,2010,12209.917057343151,Australia,401.97912759406205
103,2011,12616.700376679686,Australia,406.78331933653544
104,2012,13014.796691494614,Australia,398.09631481492784
105,2013,13409.798975459726,Australia,395.0022839651107
106,2014,13808.318690984428,Australia,398.51971552470263
107,2015,14215.543996337869,Australia,407.2253053534399
108,2016,14621.125981714276,Australia,405.5819853764095
109,2017,15024.86188652366,Australia,403.7359048093823
110,2018,15426.375615166477,Australia,401.51372864281706
111,2019,15832.944146787997,Australia,406.56853162152015
112,2020,16211.183429281653,Australia,378.2392824936558
113,2021,16580.616230557815,Australia,369.43280127616225
114,1965,51.522214840475684,Brazil,51.522214840475684
115,1966,107.68844869683272,Brazil,56.16623385635704
116,1967,165.69985517992495,Brazil,58.01140648309224
117,1968,233.84641003586287,Brazil,68.14655485593791
118,1969,308.1038295770861,Brazil,74.25741954122327
119,1970,391.98398988191894,Brazil,83.88016030483281
120,1971,484.15466026817194,Brazil,92.17067038625301
121,1972,587.7002218499304,Brazil,103.54556158175842
122,1973,711.3121402800408,Brazil,123.6119184301104
123,1974,844.6738435614687,Brazil,133.36170328142794
124,1975,983.8959907995848,Brazil,139.22214723811595
125,1976,1133.3918202779323,Brazil,149.4958294783476
126,1977,1289.4184834905604,Brazil,156.0266632126282
127,1978,1457.8106601966115,Brazil,168.39217670605112
128,1979,1634.1907639029255,Brazil,176.3801037063139
129,1980,1809.9599877650642,Brazil,175.76922386213863
130,1981,1977.280554958743,Brazil,167.32056719367904
131,1982,2145.173559591121,Brazil,167.8930046323777
132,1983,2307.8776977672687,Brazil,162.70413817614806
133,1984,2477.5677555397674,Brazil,169.6900577724985
134,1985,2654.4094004398908,Brazil,176.84164490012324
135,1986,2846.1391888550593,Brazil,191.7297884151684
136,1987,3043.736101025278,Brazil,197.5969121702188
137,1988,3244.869694625566,Brazil,201.13359360028787
138,1989,3449.9749015369985,Brazil,205.1052069114327
139,1990,3646.5619482506763,Brazil,196.587046713678
140,1991,3852.513489519652,Brazil,205.9515412689757
141,1992,4068.8544175881134,Brazil,216.3409280684612
142,1993,4296.077841343289,Brazil,227.22342375517542
143,1994,4533.293310632805,Brazil,237.2154692895162
144,1995,4784.956389183666,Brazil,251.66307855086092
145,1996,5055.760022210498,Brazil,270.8036330268327
146,1997,5339.686021159028,Brazil,283.9259989485299
147,1998,5634.167227191979,Brazil,294.4812060329501
148,1999,5931.637751470144,Brazil,297.4705242781654
149,2000,6233.766508345201,Brazil,302.1287568750569
150,2001,6545.264249884997,Brazil,311.4977415397966
151,2002,6857.331993668728,Brazil,312.06774378372984
152,2003,7166.242230140069,Brazil,308.91023647134216
153,2004,7489.344307747468,Brazil,323.1020776073981
154,2005,7819.532710678721,Brazil,330.1884029312535
155,2006,8155.22543027672,Brazil,335.69271959799846
156,2007,8505.348636726583,Brazil,350.1232064498643
157,2008,8878.29058850214,Brazil,372.9419517755556
158,2009,9229.079112452391,Brazil,350.7885239502516
159,2010,9628.485952914973,Brazil,399.4068404625823
160,2011,10052.69497568027,Brazil,424.20902276529694
