,Year,Cumulative global emissions,cume,Country,Million tonnes of carbon dioxide,ranked,pct
35,2000,23069.955730710037,176018.32738703268,Rest of the World,7589.618309451675,1.0,0.3289827860115311
36,2001,23358.915198294562,183782.62664945974,Rest of the World,7764.2992624270555,1.0,0.3323912603181987
37,2002,23900.876789866597,191715.69810498875,Rest of the World,7933.071455529018,1.0,0.33191549938839277
38,2003,25085.058243243737,199925.10020316663,Rest of the World,8209.402098177874,1.0,0.3272626285565411
39,2004,26397.309142709997,208472.35319917867,Rest of the World,8547.252996012045,1.0,0.3237925861989798
40,2005,27455.05955427274,217196.93025212744,Rest of the World,8724.577052948764,1.0,0.3177766573662736
41,2006,28316.292827953377,226179.94736211814,Rest of the World,8983.017109990702,1.0,0.3172384593057611
42,2007,29344.75498252213,235465.0588210662,Rest of the World,9285.111458948057,1.0,0.31641468686578955
43,2008,29606.081556748075,244961.835458213,Rest of the World,9496.776637146802,1.0,0.320771143555207
44,2009,28966.792092613676,254245.34721553797,Rest of the World,9283.511757324974,1.0,0.32048808606915785
45,2010,30301.741784820064,263987.62063110346,Rest of the World,9742.27341556549,1.0,0.3215086936172749
46,2011,31194.973024475086,274027.71901121415,Rest of the World,10040.098380110692,1.0,0.3218498817817021
47,2012,31530.749508551926,284226.8012552809,Rest of the World,10199.082244066754,1.0,0.32346463065524367
48,2013,32010.37744731882,294483.9409584881,Rest of the World,10257.139703207184,1.0,0.3204317012533796
49,2014,32119.310836364788,304821.8370927421,Rest of the World,10337.896134253999,1.0,0.32185921382066696
50,2015,32128.2396330235,315322.2758514618,Rest of the World,10500.438758719712,1.0,0.32682894794916423
51,2016,32290.036368734018,326012.4399408927,Rest of the World,10690.16408943088,1.0,0.33106695722963053
52,2017,32649.346419607627,336848.13839251094,Rest of the World,10835.698451618257,1.0,0.3318810218237893
53,2018,33357.08931424396,347884.85576240154,Rest of the World,11036.717369890597,1.0,0.33086571990493663
54,2019,33290.92122968449,358933.2715624997,Rest of the World,11048.415800098155,1.0,0.33187473917803817
55,2020,31341.989193406283,369143.02032578463,Rest of the World,10209.748763284937,1.0,0.325753056077017
56,2021,33139.76772360828,379792.12643065397,Rest of the World,10649.106104869337,1.0,0.3213391896311654
57,1965,11001.518840048726,260.3284936282468,Canada,260.3284936282468,9.0,0.023662959397985614
58,1966,11497.002495872768,532.0236281827822,Canada,271.69513455453546,9.0,0.023631823568975432
59,1967,11851.263252096604,817.566693078314,Canada,285.5430648955317,9.0,0.024093892678066733
60,1968,12483.67243368634,1125.8488667211013,Canada,308.2821736427874,9.0,0.02469483040991279
61,1969,13255.523020558425,1446.3046683852865,Canada,320.4558016641852,9.0,0.024175266503417465
62,1970,14033.98414552271,1791.2162339264955,Canada,344.91156554120903,9.0,0.02457688151594833
63,1971,14481.784815768166,2142.8041376793794,Canada,351.5879037528839,9.0,0.024277940062337158
64,1972,15165.882364461551,2510.7862896049533,Canada,367.9821519255739,9.0,0.024263814203641206
65,1973,16016.650206785453,2904.5109774324687,Canada,393.72468782751554,9.0,0.024582211807354957
66,1974,15911.427837435984,3304.694103596626,Canada,400.1831261641571,9.0,0.025150673481522313
67,1975,15879.888805750468,3702.7596461473086,Canada,398.06554255068255,9.0,0.025067275181834648
68,1976,16725.956476515323,4115.639915060683,Canada,412.88026891337466,9.0,0.024685001990355167
69,1977,17256.431650625585,4552.029394471184,Canada,436.3894794105004,9.0,0.025288512031088436
70,1978,17590.068223007984,4976.623107529651,Canada,424.59371305846724,9.0,0.024138264142892548
71,1979,18128.59181285465,5407.3320970077875,Canada,430.70898947813623,9.0,0.023758546384873007
72,1980,17930.641592885288,5847.913842849555,Canada,440.5817458417677,9.0,0.02457144344553663
73,1981,17685.978926646443,6268.583923250622,Canada,420.67008040106765,9.0,0.02378551292782942
74,1982,17515.03577723725,6675.549255494543,Canada,406.9653322439204,9.0,0.023235198455764352
75,1983,17637.730050881328,7063.53671920228,Canada,387.9874637077377,9.0,0.0219975848699618
76,1984,18313.856728539686,7471.963370699695,Canada,408.42665149741424,9.0,0.022301509591965748
77,1985,18578.96389625685,7875.436451992506,Canada,403.4730812928109,9.0,0.02171666211021055
78,1986,18896.077293196173,8268.821665820578,Canada,393.38521382807176,9.0,0.02081835333991337
79,1987,19498.72349879714,8675.5467616823,Canada,406.7250958617234,9.0,0.020859062691299456
80,1988,20144.453079073286,9112.928957635519,Canada,437.3821959532176,9.0,0.021712289444461734
81,1989,20522.94924718655,9570.311309348852,Canada,457.3823517133336,9.0,0.02228638516835173
82,1990,20674.113562623403,10015.141758910888,Canada,444.8304495620365,9.0,0.021516300963260772
83,1991,20723.465039529678,10443.13255377103,Canada,427.9907948601425,9.0,0.020652472646044324
84,1992,20836.666016816507,10885.073754441242,Canada,441.9412006702119,9.0,0.021209784728206393
85,1993,20924.77615374221,11323.519224426733,Canada,438.44546998548896,9.0,0.02095341267997636
86,1994,21170.297454490697,11776.672511493838,Canada,453.15328706710625,9.0,0.021405145017033392
87,1995,21463.942458949707,12248.156166059194,Canada,471.4836545653555,9.0,0.021966311895732997
88,1996,22062.89643347672,12728.716549446373,Canada,480.56038338718065,9.0,0.021781382369089646
89,1997,22204.1288262245,13222.701323726931,Canada,493.9847742805567,9.0,0.022247428761858423
90,1998,22260.472883029448,13731.038571268586,Canada,508.33724754165394,9.0,0.02283586922042394
91,1999,22556.99387282719,14244.269087511295,Canada,513.2305162427105,9.0,0.022752611413392403
92,2000,23069.955730710037,14777.374946758093,Canada,533.1058592467979,9.0,0.02310823069925285
93,2001,23358.915198294562,15313.211697636034,Canada,535.83675087794,9.0,0.02293928233949244
94,2002,23900.876789866597,15861.865365051854,Canada,548.6536674158207,9.0,0.02295537825827531
95,2003,25085.058243243737,16419.629799523256,Canada,557.7644344714033,9.0,0.02223492682627629
96,2004,26397.309142709997,16974.93680640678,Canada,555.3070068835218,9.0,0.021036500496372675
97,2005,27455.05955427274,17529.96207959381,Canada,555.0252731870296,9.0,0.020215773784422655
98,2006,28316.292827953377,18077.952599782006,Canada,547.9905201881962,9.0,0.01935248104396028
99,2007,29344.75498252213,18652.945366243413,Canada,574.9927664614075,9.0,0.01959439657287566
100,2008,29606.081556748075,19212.412358924288,Canada,559.466992680874,9.0,0.018897029369067432
101,2009,28966.792092613676,19744.010016562566,Canada,531.5976576382817,9.0,0.01835196855553209
102,2010,30301.741784820064,20290.28129515152,Canada,546.271278588952,9.0,0.018027718751884143
103,2011,31194.973024475086,20840.527671546242,Canada,550.2463763947217,9.0,0.01763894381197275
104,2012,31530.749508551926,21387.00976285369,Canada,546.4820913074471,9.0,0.017331719030631593
105,2013,32010.37744731882,21947.736399138525,Canada,560.7266362848367,9.0,0.01751702669572248
106,2014,32119.310836364788,22514.164586731353,Canada,566.4281875928256,9.0,0.017635128925354397
