,Exajoules,variable,Energy_cons,GDP,eng_int,pct_chng_int,co2,carbon_int,carbon_int_cng
0,China,1967,5.403846454714531,173452836242.473,31.154558044587933,-0.045722116475966024,475.92067379776904,88.0707247672733,-0.0020501201007768755
1,China,1968,5.460105295725378,166341269979.928,32.82471810143228,0.05360885089283052,476.6827903460292,87.30285672681366,-0.00871876599731336
2,China,1969,6.642670196667142,194519481107.989,34.14912562397496,0.04034787194364031,582.4737001263009,87.6866806391424,0.004396464522687937
3,China,1970,8.502114260524122,232061740955.439,36.63729413353283,0.0728618511922019,748.5071302628548,88.0377641756972,0.004003841107860229
4,China,1971,10.080447048624896,248445299863.509,40.574110494997875,0.10745379686383028,881.7011556436823,87.46647359890233,-0.0064891536279221285
5,China,1972,10.86781164008193,257911065788.84,42.137826102350154,0.03853973847547576,945.3767244375122,86.98869245679944,-0.005462448895491745
6,China,1973,11.472815063972597,277924964496.186,41.280260968172364,-0.020351432750584153,987.0023005725692,86.02965314694161,-0.011024873265385704
7,China,1974,11.83234213373537,284345031184.263,41.61262141439603,0.008051316499184002,1006.7685345206478,85.08615818758611,-0.010967090123494727
8,China,1975,13.249589529948329,309139917896.427,42.85952335145349,0.02996451304137482,1131.2727890228239,85.38172344628367,0.0034737172883743117
9,China,1976,13.949375658055668,304286421180.249,45.84291209561576,0.06960853763347075,1183.1413922532035,84.81679906368767,-0.006616455604241955
10,China,1977,15.21054825558293,327320903267.764,46.46983465990249,0.013675452444625202,1293.548110576044,85.04283270008074,0.002664963060246439
11,China,1978,16.675318015205825,364393196721.71,45.76188075196392,-0.015234698232086452,1418.532586747363,85.06779813457452,0.00029356306347216865
12,China,1979,17.178572642484156,392055467396.687,43.81668939997881,-0.042506805227877975,1458.4542207472805,84.8996159983858,-0.0019770364330184975
13,China,1980,17.37912239339829,422769661255.457,41.107780396987906,-0.061823680430594496,1460.8687595994213,84.05883372766586,-0.009903251750113085
14,China,1981,17.14985924127767,444384863998.942,38.59235682995382,-0.061190936186337974,1438.274310126494,83.8650795841367,-0.0023049825335060836
