,Country,Year,GDP Growth Rates,Exajoules,pct_chn_exa
2431,South Korea,2012,0.0240253099246186,11.639760844153022,0.0012204784918318202
2432,South Korea,2013,0.0316470863647184,11.68300234481621,0.00037149818834042995
2433,South Korea,2014,0.032024537945736,11.792789714179095,0.00093971879935126
2434,South Korea,2015,0.028091032682413298,11.997799908805746,0.00173843678718492
2435,South Korea,2016,0.029468817150862598,12.345991736398958,0.00290213064261604
2436,South Korea,2017,0.0315963574012777,12.483663707105435,0.00111511471614378
2437,South Korea,2018,0.029074037737713502,12.676051784107592,0.00154111870934694
2438,South Korea,2019,0.0224397786011012,12.511221190520718,-0.00130033070544511
2439,South Korea,2020,-0.00852031428863825,11.986349785250413,-0.00419520522639295
2440,Spain,1981,-0.00132468611426361,3.2191825140860217,0.0008118416031726901
2441,Spain,1982,0.012464617053460601,3.217679837075269,-4.6678838623690005e-05
2442,Spain,1983,0.0177011566326799,3.2939048374623656,0.00236894297278442
2443,Spain,1984,0.0178468758048753,3.346504984763441,0.00159689334988799
2444,Spain,1985,0.0232143575836614,3.320218438612903,-0.0007854925144357999
2445,Spain,1986,0.032533218417354404,3.390091684387097,0.00210447737298227
2446,Spain,1987,0.055471225152586595,3.5149022001612904,0.00368162655744686
2447,Spain,1988,0.050943242976693594,3.6712271916451615,0.004447491923863419
2448,Spain,1989,0.048270303123224105,3.846195797978495,0.00476594329905597
2449,Spain,1990,0.0378139337826686,3.847516076536498,3.432686808866e-05
2450,Spain,1991,0.025460005481022598,3.9834665975429018,0.0035334620649274794
2451,Spain,1992,0.00929215548666747,4.1728611998330045,0.00475451714360868
2452,Spain,1993,-0.010314918634394099,4.037404753249332,-0.00324612873749775
2453,Spain,1994,0.0238319539651248,4.228889757451366,0.00474277452732292
2454,Spain,1995,0.027574939944246403,4.389875560325708,0.0038068101111097
2455,Spain,1996,0.0266052445272342,4.559645710881556,0.0038673112306457395
2456,Spain,1997,0.0370258028536841,4.8112022155344265,0.00551701865898337
2457,Spain,1998,0.0439303735124493,5.043176039352446,0.00482153552118473
2458,Spain,1999,0.04490491315535541,5.197333614460343,0.0030567557805832803
2459,Spain,2000,0.0524599468041613,5.49949315429577,0.00581374147302649
2460,Spain,2001,0.0393294884333099,5.752271206737045,0.00459638816431335
2461,Spain,2002,0.0273102223160264,5.814270196037201,0.0010778175623489899
2462,Spain,2003,0.0298189483596207,6.14473058103505,0.0056836090146460605
2463,Spain,2004,0.031227952415142403,6.369587346353015,0.00365934295007102
2464,Spain,2005,0.0365203267433178,6.4132098170139855,0.0006848555218564801
2465,Spain,2006,0.04102727115424629,6.505919961740887,0.00144561221871994
2466,Spain,2007,0.0360468797126931,6.648575280839792,0.0021927001859508104
2467,Spain,2008,0.00887145182485298,6.46493398013393,-0.0027621150840404602
2468,Spain,2009,-0.0376323192690089,5.993301434810718,-0.00729524147922453
2469,Spain,2010,0.00163010230841422,6.155576309746202,0.0027076040926783296
2470,Spain,2011,-0.0081437345515107,6.039465841841286,-0.0018862647794825702
2471,Spain,2012,-0.0295944130173555,6.005973583874291,-0.00055455662543798
2472,Spain,2013,-0.0143539425919327,5.705607338453736,-0.00500112498374988
2473,Spain,2014,0.013839079426702901,5.599984229721603,-0.00185121587355427
2474,Spain,2015,0.0383517266033846,5.669864062644706,0.0012478576734594902
2475,Spain,2016,0.0303130132981933,5.723907322546576,0.00095316676563601
2476,Spain,2017,0.0297364119053731,5.789199646244329,0.0011406949836620399
2477,Spain,2018,0.0228878567617447,5.89348885955257,0.0018014444082248501
2478,Spain,2019,0.0208519142117105,5.728983711670198,-0.00279130328066593
2479,Spain,2020,-0.10822886493966401,5.18200985660984,-0.00954748490462885
2480,Sri Lanka,1981,0.056995247666145,0.0869860300356709,0.00499430090850725
2481,Sri Lanka,1982,0.0414149570228265,0.0937119717937225,0.0077322091320795395
2482,Sri Lanka,1983,0.0481399096958927,0.0924232368835806,-0.0013752084023786098
2483,Sri Lanka,1984,0.0509914655791364,0.0979740917506129,0.00600590831288925
2484,Sri Lanka,1985,0.0499940636871274,0.0925052800330967,-0.00558189580510395
2485,Sri Lanka,1986,0.0435554691656412,0.0973707127570322,0.0052596270420399
2486,Sri Lanka,1987,0.0172561069289867,0.1001274005580322,0.0028311262421162695
2487,Sri Lanka,1988,0.0247268503771221,0.0990581938855806,-0.0010678462303951699
2488,Sri Lanka,1989,0.0229930141198003,0.0964637683684516,-0.00261909228844388
2489,Sri Lanka,1990,0.0639999531086637,0.1075931664108064,0.01153738676250459
2490,Sri Lanka,1991,0.045999872427763204,0.1073756243144193,-0.00020218951039744
