,Year,Original Name,value,Global GDP,percentage
0,1960,Brazil,188464088773.788,8509615886454.817,0.02214719104698671
1,1961,Brazil,204672000408.334,8842199759037.922,0.023147181242895085
2,1962,Brazil,218180352435.284,9310481229585.463,0.023433842682801714
3,1963,Brazil,219489434549.896,9790702259521.26,0.022418150274812716
4,1964,Brazil,226952075324.592,10432203240096.818,0.021754951480650576
5,1965,Brazil,232398925132.383,11030164412586.125,0.021069398101373805
6,1966,Brazil,247969653116.252,11677006408386.793,0.02123572124942506
7,1967,Brazil,258384378547.135,12162266531514.809,0.021244755480206802
8,1968,Brazil,283706047644.754,12969530807906.8,0.021874811960953457
9,1969,Brazil,310658122171.006,13720926265245.146,0.022641191721720515
10,1970,Brazil,342966566876.79,15721452634723.645,0.021815195761191106
11,1971,Brazil,381868997020.349,16389206325984.797,0.023300029874839177
12,1972,Brazil,427465484612.615,17305260564259.117,0.024701476353119325
13,1973,Brazil,487176948862.304,18409282179237.074,0.026463658067654966
14,1974,Brazil,526901058557.905,18745360470339.18,0.028108344963097488
15,1975,Brazil,554124187273.806,18920644358504.438,0.029286750322789018
16,1976,Brazil,610961422946.065,19921299259238.04,0.030668753829534778
17,1977,Brazil,641108263934.078,20800499416368.227,0.030821772645976964
18,1978,Brazil,672970688728.912,21652292209205.65,0.031080805774586443
19,1979,Brazil,718460547037.255,22547605305337.36,0.03186416195014663
20,1980,Brazil,784558917364.681,23402014710452.242,0.03352527237811994
21,1981,Brazil,751215163376.685,23857380399675.453,0.031487747220851806
22,1982,Brazil,757450249232.708,23948885683595.227,0.03162778674715353
23,1983,Brazil,735256956930.19,24572837619215.03,0.029921532397839425
24,1984,Brazil,774960832604.42,25746906924074.73,0.030099181812002062
25,1985,Brazil,835795257963.87,26710420980087.812,0.03129098034759324
26,1986,Brazil,898396322785.362,27622286354207.55,0.032524328770797584
27,1987,Brazil,930109712979.684,28828124472187.57,0.032263968954242
28,1988,Brazil,929551647151.897,30179081108119.156,0.030801191190072956
29,1989,Brazil,958925479201.9,32500407108040.684,0.029505029768216638
30,1990,Brazil,917212220856.615,34035570922146.652,0.026948636265119705
31,1991,Brazil,926679589877.167,34590690017078.934,0.026789855577313573
32,1992,Brazil,921637785237.654,35359079190278.03,0.026065095764458087
33,1993,Brazil,967025589117.641,35979407329089.234,0.026877196177042192
34,1994,Brazil,1023624343217.9,37152453490009.11,0.027551998510493232
35,1995,Brazil,1066860123057.74,38569136843817.61,0.027660980005279816
36,1996,Brazil,1090425612783.91,39944510926184.84,0.027298509544877236
37,1997,Brazil,1127443882933.16,42495979157685.61,0.026530601371712505
38,1998,Brazil,1131255747038.65,43711875686072.875,0.025879826232189835
39,1999,Brazil,1136549317651.98,45310401018022.46,0.02508362963284989
